,region,date,year,month,popn,obs
509,Bowen Basin - North,31/12/2018,2018,12,34541,0
510,Cairns_Region,31/12/2018,2018,12,162266,38
511,Charters Towers - Ayr - Ingham,31/12/2018,2018,12,42336,19
512,Daly - Tiwi - West Arnhem,31/12/2018,2018,12,17918,1
513,Darwin_Region,31/12/2018,2018,12,87284,91
514,East Arnhem,31/12/2018,2018,12,14501,20
515,East Pilbara,31/12/2018,2018,12,25988,0
516,Far North,31/12/2018,2018,12,33455,60
517,Innisfail - Cassowary Coast,31/12/2018,2018,12,35784,9
518,Katherine,31/12/2018,2018,12,20937,38
519,Kimberley,31/12/2018,2018,12,37094,0
520,Litchfield,31/12/2018,2018,12,24136,1
521,Mackay,31/12/2018,2018,12,118436,7
522,Outback - North,31/12/2018,2018,12,30784,31
523,Palmerston,31/12/2018,2018,12,37654,17
524,Port Douglas - Daintree,31/12/2018,2018,12,12131,3
525,Tablelands (East) - Kuranda,31/12/2018,2018,12,42222,5
526,Townsville,31/12/2018,2018,12,193295,32
527,West Pilbara,31/12/2018,2018,12,33699,0
528,Whitsunday,31/12/2018,2018,12,22678,3
529,Alice Springs,31/1/2019,2019,1,40128,10
530,Barkly,31/1/2019,2019,1,6028,40
531,Bowen Basin - North,31/1/2019,2019,1,35095,0
532,Cairns_Region,31/1/2019,2019,1,163733,37
533,Charters Towers - Ayr - Ingham,31/1/2019,2019,1,42059,24
534,Daly - Tiwi - West Arnhem,31/1/2019,2019,1,17917,4
535,Darwin_Region,31/1/2019,2019,1,86771,109
536,East Arnhem,31/1/2019,2019,1,14502,26
537,East Pilbara,31/1/2019,2019,1,26257,2
538,Far North,31/1/2019,2019,1,33323,95
539,Innisfail - Cassowary Coast,31/1/2019,2019,1,35833,11
540,Katherine,31/1/2019,2019,1,21032,60
541,Kimberley,31/1/2019,2019,1,37559,1
542,Litchfield,31/1/2019,2019,1,23563,1
543,Mackay,31/1/2019,2019,1,119665,11
544,Outback - North,31/1/2019,2019,1,30838,55
545,Palmerston,31/1/2019,2019,1,38212,20
546,Port Douglas - Daintree,31/1/2019,2019,1,12242,6
547,Tablelands (East) - Kuranda,31/1/2019,2019,1,42615,16
548,Townsville,31/1/2019,2019,1,193951,57
549,West Pilbara,31/1/2019,2019,1,32917,0
550,Whitsunday,31/1/2019,2019,1,23013,5
551,Alice Springs,28/2/2019,2019,2,40128,20
552,Barkly,28/2/2019,2019,2,6028,26
553,Bowen Basin - North,28/2/2019,2019,2,35095,2
554,Cairns_Region,28/2/2019,2019,2,163733,64
555,Charters Towers - Ayr - Ingham,28/2/2019,2019,2,42059,23
556,Daly - Tiwi - West Arnhem,28/2/2019,2019,2,17917,4
557,Darwin_Region,28/2/2019,2019,2,86771,72
558,East Arnhem,28/2/2019,2019,2,14502,14
559,East Pilbara,28/2/2019,2019,2,26257,0
560,Far North,28/2/2019,2019,2,33323,78
561,Innisfail - Cassowary Coast,28/2/2019,2019,2,35833,18
562,Katherine,28/2/2019,2019,2,21032,57
563,Kimberley,28/2/2019,2019,2,37559,2
564,Litchfield,28/2/2019,2019,2,23563,0
565,Mackay,28/2/2019,2019,2,119665,15
566,Outback - North,28/2/2019,2019,2,30838,46
567,Palmerston,28/2/2019,2019,2,38212,20
568,Port Douglas - Daintree,28/2/2019,2019,2,12242,4
569,Tablelands (East) - Kuranda,28/2/2019,2019,2,42615,21
570,Townsville,28/2/2019,2019,2,193951,61
571,West Pilbara,28/2/2019,2019,2,32917,0
572,Whitsunday,28/2/2019,2019,2,23013,2
573,Alice Springs,31/3/2019,2019,3,40128,22
574,Barkly,31/3/2019,2019,3,6028,51
575,Bowen Basin - North,31/3/2019,2019,3,35095,3
576,Cairns_Region,31/3/2019,2019,3,163733,48
577,Charters Towers - Ayr - Ingham,31/3/2019,2019,3,42059,11
578,Daly - Tiwi - West Arnhem,31/3/2019,2019,3,17917,1
579,Darwin_Region,31/3/2019,2019,3,86771,81
580,East Arnhem,31/3/2019,2019,3,14502,19
581,East Pilbara,31/3/2019,2019,3,26257,0
582,Far North,31/3/2019,2019,3,33323,72
583,Innisfail - Cassowary Coast,31/3/2019,2019,3,35833,10
584,Katherine,31/3/2019,2019,3,21032,53
585,Kimberley,31/3/2019,2019,3,37559,1
586,Litchfield,31/3/2019,2019,3,23563,0
587,Mackay,31/3/2019,2019,3,119665,14
588,Outback - North,31/3/2019,2019,3,30838,45
589,Palmerston,31/3/2019,2019,3,38212,24
590,Port Douglas - Daintree,31/3/2019,2019,3,12242,0
591,Tablelands (East) - Kuranda,31/3/2019,2019,3,42615,18
592,Townsville,31/3/2019,2019,3,193951,63
593,West Pilbara,31/3/2019,2019,3,32917,1
594,Whitsunday,31/3/2019,2019,3,23013,5
595,Alice Springs,30/4/2019,2019,4,40128,16
596,Barkly,30/4/2019,2019,4,6028,25
597,Bowen Basin - North,30/4/2019,2019,4,35095,1
598,Cairns_Region,30/4/2019,2019,4,163733,43
599,Charters Towers - Ayr - Ingham,30/4/2019,2019,4,42059,13
600,Daly - Tiwi - West Arnhem,30/4/2019,2019,4,17917,6
601,Darwin_Region,30/4/2019,2019,4,86771,72
602,East Arnhem,30/4/2019,2019,4,14502,19
603,East Pilbara,30/4/2019,2019,4,26257,0
604,Far North,30/4/2019,2019,4,33323,59
605,Innisfail - Cassowary Coast,30/4/2019,2019,4,35833,11
606,Katherine,30/4/2019,2019,4,21032,48
607,Kimberley,30/4/2019,2019,4,37559,0
608,Litchfield,30/4/2019,2019,4,23563,0
609,Mackay,30/4/2019,2019,4,119665,11
610,Outback - North,30/4/2019,2019,4,30838,33
611,Palmerston,30/4/2019,2019,4,38212,25
612,Port Douglas - Daintree,30/4/2019,2019,4,12242,4
613,Tablelands (East) - Kuranda,30/4/2019,2019,4,42615,19
614,Townsville,30/4/2019,2019,4,193951,44
615,West Pilbara,30/4/2019,2019,4,32917,3
616,Whitsunday,30/4/2019,2019,4,23013,1
617,Alice Springs,31/5/2019,2019,5,40128,21
618,Barkly,31/5/2019,2019,5,6028,48
619,Bowen Basin - North,31/5/2019,2019,5,35095,3
620,Cairns_Region,31/5/2019,2019,5,163733,40
621,Charters Towers - Ayr - Ingham,31/5/2019,2019,5,42059,19
622,Daly - Tiwi - West Arnhem,31/5/2019,2019,5,17917,3
623,Darwin_Region,31/5/2019,2019,5,86771,70
624,East Arnhem,31/5/2019,2019,5,14502,17
625,East Pilbara,31/5/2019,2019,5,26257,0
626,Far North,31/5/2019,2019,5,33323,51
627,Innisfail - Cassowary Coast,31/5/2019,2019,5,35833,11
628,Katherine,31/5/2019,2019,5,21032,60
629,Kimberley,31/5/2019,2019,5,37559,2
630,Litchfield,31/5/2019,2019,5,23563,0
631,Mackay,31/5/2019,2019,5,119665,5
632,Outback - North,31/5/2019,2019,5,30838,36
633,Palmerston,31/5/2019,2019,5,38212,16
634,Port Douglas - Daintree,31/5/2019,2019,5,12242,7
635,Tablelands (East) - Kuranda,31/5/2019,2019,5,42615,14
636,Townsville,31/5/2019,2019,5,193951,45
637,West Pilbara,31/5/2019,2019,5,32917,0
638,Whitsunday,31/5/2019,2019,5,23013,4
639,Alice Springs,30/6/2019,2019,6,40128,4
640,Barkly,30/6/2019,2019,6,6028,24
641,Bowen Basin - North,30/6/2019,2019,6,35095,2
642,Cairns_Region,30/6/2019,2019,6,163733,43
643,Charters Towers - Ayr - Ingham,30/6/2019,2019,6,42059,19
644,Daly - Tiwi - West Arnhem,30/6/2019,2019,6,17917,2
645,Darwin_Region,30/6/2019,2019,6,86771,71
646,East Arnhem,30/6/2019,2019,6,14502,7
647,East Pilbara,30/6/2019,2019,6,26257,1
648,Far North,30/6/2019,2019,6,33323,54
649,Innisfail - Cassowary Coast,30/6/2019,2019,6,35833,6
650,Katherine,30/6/2019,2019,6,21032,37
651,Kimberley,30/6/2019,2019,6,37559,2
652,Litchfield,30/6/2019,2019,6,23563,1
653,Mackay,30/6/2019,2019,6,119665,9
654,Outback - North,30/6/2019,2019,6,30838,42
655,Palmerston,30/6/2019,2019,6,38212,21
656,Port Douglas - Daintree,30/6/2019,2019,6,12242,1
657,Tablelands (East) - Kuranda,30/6/2019,2019,6,42615,7
658,Townsville,30/6/2019,2019,6,193951,43
659,West Pilbara,30/6/2019,2019,6,32917,1
660,Whitsunday,30/6/2019,2019,6,23013,3
661,Alice Springs,31/7/2019,2019,7,40128,20
662,Barkly,31/7/2019,2019,7,6028,25
663,Bowen Basin - North,31/7/2019,2019,7,35095,3
664,Cairns_Region,31/7/2019,2019,7,163733,31
665,Charters Towers - Ayr - Ingham,31/7/2019,2019,7,42059,13
666,Daly - Tiwi - West Arnhem,31/7/2019,2019,7,17917,1
667,Darwin_Region,31/7/2019,2019,7,86771,66
668,East Arnhem,31/7/2019,2019,7,14502,10
669,East Pilbara,31/7/2019,2019,7,26257,0
670,Far North,31/7/2019,2019,7,33323,69
671,Innisfail - Cassowary Coast,31/7/2019,2019,7,35833,12
672,Katherine,31/7/2019,2019,7,21032,43
673,Kimberley,31/7/2019,2019,7,37559,0
674,Litchfield,31/7/2019,2019,7,23563,0
675,Mackay,31/7/2019,2019,7,119665,9
676,Outback - North,31/7/2019,2019,7,30838,28
677,Palmerston,31/7/2019,2019,7,38212,14
678,Port Douglas - Daintree,31/7/2019,2019,7,12242,1
679,Tablelands (East) - Kuranda,31/7/2019,2019,7,42615,8
680,Townsville,31/7/2019,2019,7,193951,35
681,West Pilbara,31/7/2019,2019,7,32917,1
682,Whitsunday,31/7/2019,2019,7,23013,0
683,Alice Springs,31/8/2019,2019,8,40128,15
684,Barkly,31/8/2019,2019,8,6028,28
685,Bowen Basin - North,31/8/2019,2019,8,35095,8
686,Cairns_Region,31/8/2019,2019,8,163733,43
687,Charters Towers - Ayr - Ingham,31/8/2019,2019,8,42059,17
688,Daly - Tiwi - West Arnhem,31/8/2019,2019,8,17917,NA
689,Darwin_Region,31/8/2019,2019,8,86771,67
690,East Arnhem,31/8/2019,2019,8,14502,11
691,East Pilbara,31/8/2019,2019,8,26257,0
692,Far North,31/8/2019,2019,8,33323,60
693,Innisfail - Cassowary Coast,31/8/2019,2019,8,35833,3
694,Katherine,31/8/2019,2019,8,21032,46
695,Kimberley,31/8/2019,2019,8,37559,1
696,Litchfield,31/8/2019,2019,8,23563,0
697,Mackay,31/8/2019,2019,8,119665,11
698,Outback - North,31/8/2019,2019,8,30838,31
699,Palmerston,31/8/2019,2019,8,38212,18
700,Port Douglas - Daintree,31/8/2019,2019,8,12242,1
701,Tablelands (East) - Kuranda,31/8/2019,2019,8,42615,6
702,Townsville,31/8/2019,2019,8,193951,25
703,West Pilbara,31/8/2019,2019,8,32917,1
704,Whitsunday,31/8/2019,2019,8,23013,0
705,Alice Springs,30/9/2019,2019,9,40128,26
706,Barkly,30/9/2019,2019,9,6028,24
707,Bowen Basin - North,30/9/2019,2019,9,35095,0
708,Cairns_Region,30/9/2019,2019,9,163733,45
709,Charters Towers - Ayr - Ingham,30/9/2019,2019,9,42059,8
710,Daly - Tiwi - West Arnhem,30/9/2019,2019,9,17917,0
711,Darwin_Region,30/9/2019,2019,9,86771,66
712,East Arnhem,30/9/2019,2019,9,14502,12
713,East Pilbara,30/9/2019,2019,9,26257,3
714,Far North,30/9/2019,2019,9,33323,39
715,Innisfail - Cassowary Coast,30/9/2019,2019,9,35833,5
716,Katherine,30/9/2019,2019,9,21032,27
717,Kimberley,30/9/2019,2019,9,37559,2
718,Litchfield,30/9/2019,2019,9,23563,0
719,Mackay,30/9/2019,2019,9,119665,4
720,Outback - North,30/9/2019,2019,9,30838,25
721,Palmerston,30/9/2019,2019,9,38212,10
722,Port Douglas - Daintree,30/9/2019,2019,9,12242,2
723,Tablelands (East) - Kuranda,30/9/2019,2019,9,42615,10
724,Townsville,30/9/2019,2019,9,193951,28
725,West Pilbara,30/9/2019,2019,9,32917,1
726,Whitsunday,30/9/2019,2019,9,23013,1
727,Alice Springs,31/10/2019,2019,10,40128,7
728,Barkly,31/10/2019,2019,10,6028,28
729,Bowen Basin - North,31/10/2019,2019,10,35095,2
730,Cairns_Region,31/10/2019,2019,10,163733,33
731,Charters Towers - Ayr - Ingham,31/10/2019,2019,10,42059,11
732,Daly - Tiwi - West Arnhem,31/10/2019,2019,10,17917,1
733,Darwin_Region,31/10/2019,2019,10,86771,78
734,East Arnhem,31/10/2019,2019,10,14502,9
735,East Pilbara,31/10/2019,2019,10,26257,0
736,Far North,31/10/2019,2019,10,33323,53
737,Innisfail - Cassowary Coast,31/10/2019,2019,10,35833,6
738,Katherine,31/10/2019,2019,10,21032,46
739,Kimberley,31/10/2019,2019,10,37559,2
740,Litchfield,31/10/2019,2019,10,23563,0
741,Mackay,31/10/2019,2019,10,119665,7
742,Outback - North,31/10/2019,2019,10,30838,49
743,Palmerston,31/10/2019,2019,10,38212,16
744,Port Douglas - Daintree,31/10/2019,2019,10,12242,2
745,Tablelands (East) - Kuranda,31/10/2019,2019,10,42615,14
746,Townsville,31/10/2019,2019,10,193951,40
747,West Pilbara,31/10/2019,2019,10,32917,0
748,Whitsunday,31/10/2019,2019,10,23013,0
749,Alice Springs,30/11/2019,2019,11,40128,9
750,Barkly,30/11/2019,2019,11,6028,25
751,Bowen Basin - North,30/11/2019,2019,11,35095,0
752,Cairns_Region,30/11/2019,2019,11,163733,35
753,Charters Towers - Ayr - Ingham,30/11/2019,2019,11,42059,9
754,Daly - Tiwi - West Arnhem,30/11/2019,2019,11,17917,3
755,Darwin_Region,30/11/2019,2019,11,86771,65
756,East Arnhem,30/11/2019,2019,11,14502,15
757,East Pilbara,30/11/2019,2019,11,26257,3
758,Far North,30/11/2019,2019,11,33323,45
759,Innisfail - Cassowary Coast,30/11/2019,2019,11,35833,5
760,Katherine,30/11/2019,2019,11,21032,44
761,Kimberley,30/11/2019,2019,11,37559,3
762,Litchfield,30/11/2019,2019,11,23563,1
763,Mackay,30/11/2019,2019,11,119665,8
764,Outback - North,30/11/2019,2019,11,30838,53
765,Palmerston,30/11/2019,2019,11,38212,16
766,Port Douglas - Daintree,30/11/2019,2019,11,12242,1
767,Tablelands (East) - Kuranda,30/11/2019,2019,11,42615,10
768,Townsville,30/11/2019,2019,11,193951,37
769,West Pilbara,30/11/2019,2019,11,32917,NA
770,Whitsunday,30/11/2019,2019,11,23013,0
771,Alice Springs,31/12/2019,2019,12,40128,16
772,Barkly,31/12/2019,2019,12,6028,19
773,Bowen Basin - North,31/12/2019,2019,12,35095,0
774,Cairns_Region,31/12/2019,2019,12,163733,44
775,Charters Towers - Ayr - Ingham,31/12/2019,2019,12,42059,18
776,Daly - Tiwi - West Arnhem,31/12/2019,2019,12,17917,4
777,Darwin_Region,31/12/2019,2019,12,86771,71
778,East Arnhem,31/12/2019,2019,12,14502,13
779,East Pilbara,31/12/2019,2019,12,26257,0
780,Far North,31/12/2019,2019,12,33323,51
781,Innisfail - Cassowary Coast,31/12/2019,2019,12,35833,12
782,Katherine,31/12/2019,2019,12,21032,52
783,Kimberley,31/12/2019,2019,12,37559,0
784,Litchfield,31/12/2019,2019,12,23563,0
785,Mackay,31/12/2019,2019,12,119665,10
786,Outback - North,31/12/2019,2019,12,30838,56
787,Palmerston,31/12/2019,2019,12,38212,22
788,Port Douglas - Daintree,31/12/2019,2019,12,12242,7
789,Tablelands (East) - Kuranda,31/12/2019,2019,12,42615,8
790,Townsville,31/12/2019,2019,12,193951,39
791,West Pilbara,31/12/2019,2019,12,32917,0
792,Whitsunday,31/12/2019,2019,12,23013,1
793,Alice Springs,31/1/2020,2020,1,40421,18
794,Barkly,31/1/2020,2020,1,6053,40
795,Bowen Basin - North,31/1/2020,2020,1,35865,2
796,Cairns_Region,31/1/2020,2020,1,165350,54
797,Charters Towers - Ayr - Ingham,31/1/2020,2020,1,41999,26
798,Daly - Tiwi - West Arnhem,31/1/2020,2020,1,18017,0
799,Darwin_Region,31/1/2020,2020,1,86853,111
800,East Arnhem,31/1/2020,2020,1,14526,15
801,East Pilbara,31/1/2020,2020,1,26691,53
802,Far North,31/1/2020,2020,1,33223,72
803,Innisfail - Cassowary Coast,31/1/2020,2020,1,35946,13
804,Katherine,31/1/2020,2020,1,21121,63
805,Kimberley,31/1/2020,2020,1,38254,181
806,Litchfield,31/1/2020,2020,1,23002,1
807,Mackay,31/1/2020,2020,1,121612,15
808,Outback - North,31/1/2020,2020,1,31092,72
809,Palmerston,31/1/2020,2020,1,38950,33
810,Port Douglas - Daintree,31/1/2020,2020,1,12310,4
811,Tablelands (East) - Kuranda,31/1/2020,2020,1,43119,20
812,Townsville,31/1/2020,2020,1,195071,51
813,West Pilbara,31/1/2020,2020,1,32242,28
814,Whitsunday,31/1/2020,2020,1,23490,0
815,Alice Springs,29/2/2020,2020,2,40421,15
816,Barkly,29/2/2020,2020,2,6053,46
817,Bowen Basin - North,29/2/2020,2020,2,35865,4
818,Cairns_Region,29/2/2020,2020,2,165350,67
819,Charters Towers - Ayr - Ingham,29/2/2020,2020,2,41999,24
820,Daly - Tiwi - West Arnhem,29/2/2020,2020,2,18017,4
821,Darwin_Region,29/2/2020,2020,2,86853,99
822,East Arnhem,29/2/2020,2020,2,14526,15
823,East Pilbara,29/2/2020,2020,2,26691,37
824,Far North,29/2/2020,2020,2,33223,68
825,Innisfail - Cassowary Coast,29/2/2020,2020,2,35946,6
826,Katherine,29/2/2020,2020,2,21121,72
827,Kimberley,29/2/2020,2020,2,38254,161
828,Litchfield,29/2/2020,2020,2,23002,0
829,Mackay,29/2/2020,2020,2,121612,21
830,Outback - North,29/2/2020,2020,2,31092,73
831,Palmerston,29/2/2020,2020,2,38950,17
832,Port Douglas - Daintree,29/2/2020,2020,2,12310,9
833,Tablelands (East) - Kuranda,29/2/2020,2020,2,43119,26
834,Townsville,29/2/2020,2020,2,195071,46
835,West Pilbara,29/2/2020,2020,2,32242,26
836,Whitsunday,29/2/2020,2020,2,23490,3
837,Alice Springs,31/3/2020,2020,3,40421,18
838,Barkly,31/3/2020,2020,3,6053,37
839,Bowen Basin - North,31/3/2020,2020,3,35865,0
840,Cairns_Region,31/3/2020,2020,3,165350,39
841,Charters Towers - Ayr - Ingham,31/3/2020,2020,3,41999,12
842,Daly - Tiwi - West Arnhem,31/3/2020,2020,3,18017,1
843,Darwin_Region,31/3/2020,2020,3,86853,96
844,East Arnhem,31/3/2020,2020,3,14526,13
845,East Pilbara,31/3/2020,2020,3,26691,35
846,Far North,31/3/2020,2020,3,33223,51
847,Innisfail - Cassowary Coast,31/3/2020,2020,3,35946,10
848,Katherine,31/3/2020,2020,3,21121,38
849,Kimberley,31/3/2020,2020,3,38254,99
850,Litchfield,31/3/2020,2020,3,23002,0
851,Mackay,31/3/2020,2020,3,121612,18
852,Outback - North,31/3/2020,2020,3,31092,48
853,Palmerston,31/3/2020,2020,3,38950,20
854,Port Douglas - Daintree,31/3/2020,2020,3,12310,3
855,Tablelands (East) - Kuranda,31/3/2020,2020,3,43119,29
856,Townsville,31/3/2020,2020,3,195071,49
857,West Pilbara,31/3/2020,2020,3,32242,28
858,Whitsunday,31/3/2020,2020,3,23490,1
859,Alice Springs,30/4/2020,2020,4,40421,11
860,Barkly,30/4/2020,2020,4,6053,34
861,Bowen Basin - North,30/4/2020,2020,4,35865,0
862,Cairns_Region,30/4/2020,2020,4,165350,29
863,Charters Towers - Ayr - Ingham,30/4/2020,2020,4,41999,14
864,Daly - Tiwi - West Arnhem,30/4/2020,2020,4,18017,3
865,Darwin_Region,30/4/2020,2020,4,86853,57
866,East Arnhem,30/4/2020,2020,4,14526,11
867,East Pilbara,30/4/2020,2020,4,26691,16
868,Far North,30/4/2020,2020,4,33223,46
869,Innisfail - Cassowary Coast,30/4/2020,2020,4,35946,8
870,Katherine,30/4/2020,2020,4,21121,37
871,Kimberley,30/4/2020,2020,4,38254,78
872,Litchfield,30/4/2020,2020,4,23002,0
873,Mackay,30/4/2020,2020,4,121612,18
874,Outback - North,30/4/2020,2020,4,31092,34
875,Palmerston,30/4/2020,2020,4,38950,16
876,Port Douglas - Daintree,30/4/2020,2020,4,12310,3
877,Tablelands (East) - Kuranda,30/4/2020,2020,4,43119,16
878,Townsville,30/4/2020,2020,4,195071,42
879,West Pilbara,30/4/2020,2020,4,32242,24
880,Whitsunday,30/4/2020,2020,4,23490,1
881,Alice Springs,31/5/2020,2020,5,40421,19
882,Barkly,31/5/2020,2020,5,6053,35
883,Bowen Basin - North,31/5/2020,2020,5,35865,0
884,Cairns_Region,31/5/2020,2020,5,165350,33
885,Charters Towers - Ayr - Ingham,31/5/2020,2020,5,41999,14
886,Daly - Tiwi - West Arnhem,31/5/2020,2020,5,18017,2
887,Darwin_Region,31/5/2020,2020,5,86853,54
888,East Arnhem,31/5/2020,2020,5,14526,10
889,East Pilbara,31/5/2020,2020,5,26691,24
890,Far North,31/5/2020,2020,5,33223,60
891,Innisfail - Cassowary Coast,31/5/2020,2020,5,35946,10
892,Katherine,31/5/2020,2020,5,21121,41
893,Kimberley,31/5/2020,2020,5,38254,92
894,Litchfield,31/5/2020,2020,5,23002,0
895,Mackay,31/5/2020,2020,5,121612,11
896,Outback - North,31/5/2020,2020,5,31092,32
897,Palmerston,31/5/2020,2020,5,38950,10
898,Port Douglas - Daintree,31/5/2020,2020,5,12310,0
899,Tablelands (East) - Kuranda,31/5/2020,2020,5,43119,15
900,Townsville,31/5/2020,2020,5,195071,30
901,West Pilbara,31/5/2020,2020,5,32242,23
902,Whitsunday,31/5/2020,2020,5,23490,0
903,Alice Springs,30/6/2020,2020,6,40421,15
904,Barkly,30/6/2020,2020,6,6053,42
905,Bowen Basin - North,30/6/2020,2020,6,35865,1
906,Cairns_Region,30/6/2020,2020,6,165350,30
907,Charters Towers - Ayr - Ingham,30/6/2020,2020,6,41999,5
908,Daly - Tiwi - West Arnhem,30/6/2020,2020,6,18017,4
909,Darwin_Region,30/6/2020,2020,6,86853,71
910,East Arnhem,30/6/2020,2020,6,14526,11
911,East Pilbara,30/6/2020,2020,6,26691,25
912,Far North,30/6/2020,2020,6,33223,34
913,Innisfail - Cassowary Coast,30/6/2020,2020,6,35946,12
914,Katherine,30/6/2020,2020,6,21121,42
915,Kimberley,30/6/2020,2020,6,38254,85
916,Litchfield,30/6/2020,2020,6,23002,0
917,Mackay,30/6/2020,2020,6,121612,14
918,Outback - North,30/6/2020,2020,6,31092,33
919,Palmerston,30/6/2020,2020,6,38950,8
920,Port Douglas - Daintree,30/6/2020,2020,6,12310,4
921,Tablelands (East) - Kuranda,30/6/2020,2020,6,43119,11
922,Townsville,30/6/2020,2020,6,195071,34
923,West Pilbara,30/6/2020,2020,6,32242,18
924,Whitsunday,30/6/2020,2020,6,23490,2
925,Alice Springs,31/7/2020,2020,7,40421,14
926,Barkly,31/7/2020,2020,7,6053,40
927,Bowen Basin - North,31/7/2020,2020,7,35865,1
928,Cairns_Region,31/7/2020,2020,7,165350,34
929,Charters Towers - Ayr - Ingham,31/7/2020,2020,7,41999,8
930,Daly - Tiwi - West Arnhem,31/7/2020,2020,7,18017,3
931,Darwin_Region,31/7/2020,2020,7,86853,64
932,East Arnhem,31/7/2020,2020,7,14526,12
933,East Pilbara,31/7/2020,2020,7,26691,24
934,Far North,31/7/2020,2020,7,33223,45
935,Innisfail - Cassowary Coast,31/7/2020,2020,7,35946,5
936,Katherine,31/7/2020,2020,7,21121,38
937,Kimberley,31/7/2020,2020,7,38254,83
938,Litchfield,31/7/2020,2020,7,23002,0
939,Mackay,31/7/2020,2020,7,121612,13
940,Outback - North,31/7/2020,2020,7,31092,39
941,Palmerston,31/7/2020,2020,7,38950,11
942,Port Douglas - Daintree,31/7/2020,2020,7,12310,3
943,Tablelands (East) - Kuranda,31/7/2020,2020,7,43119,19
944,Townsville,31/7/2020,2020,7,195071,20
945,West Pilbara,31/7/2020,2020,7,32242,12
946,Whitsunday,31/7/2020,2020,7,23490,0
947,Alice Springs,31/8/2020,2020,8,40421,14
948,Barkly,31/8/2020,2020,8,6053,37
949,Bowen Basin - North,31/8/2020,2020,8,35865,0
950,Cairns_Region,31/8/2020,2020,8,165350,27
951,Charters Towers - Ayr - Ingham,31/8/2020,2020,8,41999,6
952,Daly - Tiwi - West Arnhem,31/8/2020,2020,8,18017,4
953,Darwin_Region,31/8/2020,2020,8,86853,75
954,East Arnhem,31/8/2020,2020,8,14526,13
955,East Pilbara,31/8/2020,2020,8,26691,21
956,Far North,31/8/2020,2020,8,33223,38
957,Innisfail - Cassowary Coast,31/8/2020,2020,8,35946,7
958,Katherine,31/8/2020,2020,8,21121,48
959,Kimberley,31/8/2020,2020,8,38254,95
960,Litchfield,31/8/2020,2020,8,23002,0
961,Mackay,31/8/2020,2020,8,121612,6
962,Outback - North,31/8/2020,2020,8,31092,41
963,Palmerston,31/8/2020,2020,8,38950,11
964,Port Douglas - Daintree,31/8/2020,2020,8,12310,2
965,Tablelands (East) - Kuranda,31/8/2020,2020,8,43119,9
966,Townsville,31/8/2020,2020,8,195071,26
967,West Pilbara,31/8/2020,2020,8,32242,13
968,Whitsunday,31/8/2020,2020,8,23490,0
969,Alice Springs,30/9/2020,2020,9,40421,12
970,Barkly,30/9/2020,2020,9,6053,34
971,Bowen Basin - North,30/9/2020,2020,9,35865,1
972,Cairns_Region,30/9/2020,2020,9,165350,44
973,Charters Towers - Ayr - Ingham,30/9/2020,2020,9,41999,9
974,Daly - Tiwi - West Arnhem,30/9/2020,2020,9,18017,0
975,Darwin_Region,30/9/2020,2020,9,86853,73
976,East Arnhem,30/9/2020,2020,9,14526,9
977,East Pilbara,30/9/2020,2020,9,26691,18
978,Far North,30/9/2020,2020,9,33223,35
979,Innisfail - Cassowary Coast,30/9/2020,2020,9,35946,2
980,Katherine,30/9/2020,2020,9,21121,52
981,Kimberley,30/9/2020,2020,9,38254,113
982,Litchfield,30/9/2020,2020,9,23002,0
983,Mackay,30/9/2020,2020,9,121612,7
984,Outback - North,30/9/2020,2020,9,31092,40
985,Palmerston,30/9/2020,2020,9,38950,14
986,Port Douglas - Daintree,30/9/2020,2020,9,12310,4
987,Tablelands (East) - Kuranda,30/9/2020,2020,9,43119,10
988,Townsville,30/9/2020,2020,9,195071,29
989,West Pilbara,30/9/2020,2020,9,32242,15
990,Whitsunday,30/9/2020,2020,9,23490,0
991,Alice Springs,31/10/2020,2020,10,40421,13
992,Barkly,31/10/2020,2020,10,6053,29
993,Bowen Basin - North,31/10/2020,2020,10,35865,2
994,Cairns_Region,31/10/2020,2020,10,165350,46
995,Charters Towers - Ayr - Ingham,31/10/2020,2020,10,41999,8
996,Daly - Tiwi - West Arnhem,31/10/2020,2020,10,18017,3
997,Darwin_Region,31/10/2020,2020,10,86853,99
998,East Arnhem,31/10/2020,2020,10,14526,12
999,East Pilbara,31/10/2020,2020,10,26691,14
1000,Far North,31/10/2020,2020,10,33223,54
1001,Innisfail - Cassowary Coast,31/10/2020,2020,10,35946,4
1002,Katherine,31/10/2020,2020,10,21121,70
1003,Kimberley,31/10/2020,2020,10,38254,97
1004,Litchfield,31/10/2020,2020,10,23002,0
1005,Mackay,31/10/2020,2020,10,121612,15
1006,Outback - North,31/10/2020,2020,10,31092,37
1007,Palmerston,31/10/2020,2020,10,38950,14
1008,Port Douglas - Daintree,31/10/2020,2020,10,12310,2
1009,Tablelands (East) - Kuranda,31/10/2020,2020,10,43119,19
1010,Townsville,31/10/2020,2020,10,195071,23
1011,West Pilbara,31/10/2020,2020,10,32242,9
1012,Whitsunday,31/10/2020,2020,10,23490,4
1013,Alice Springs,30/11/2020,2020,11,40421,9
1014,Barkly,30/11/2020,2020,11,6053,32
1015,Bowen Basin - North,30/11/2020,2020,11,35865,0
1016,Cairns_Region,30/11/2020,2020,11,165350,55
1017,Charters Towers - Ayr - Ingham,30/11/2020,2020,11,41999,19
