"","region","date","year","month","popn","obs","p","rate","obs.noise"
"74","East Arnhem",2017-04-30,2017,4,14516,16,0.001102232,11.0223202,15
"75","East Pilbara",2017-04-30,2017,4,25894,1,3.86189850930718e-05,0.386189851,0
"76","Far North",2017-04-30,2017,4,33560,93,0.002771156,27.71156138,92
"77","Innisfail - Cassowary Coast",2017-04-30,2017,4,35652,6,0.000168294,1.682935039,5
"78","Katherine",2017-04-30,2017,4,20825,65,0.003121248,31.21248499,64
"79","Kimberley",2017-04-30,2017,4,36661,1,2.7276942800251e-05,0.272769428,0
"80","Litchfield",2017-04-30,2017,4,24668,4,0.000162153,1.621533971,3
"81","Mackay",2017-04-30,2017,4,117557,9,7.65586056125964e-05,0.765586056,8
"82","Outback - North",2017-04-30,2017,4,30820,33,0.001070733,10.7073329,32
"83","Palmerston",2017-04-30,2017,4,36800,18,0.00048913,4.891304348,17
"84","Port Douglas - Daintree",2017-04-30,2017,4,12129,8,0.000659576,6.595762223,7
"85","Tablelands (East) - Kuranda",2017-04-30,2017,4,41661,26,0.000624085,6.240848755,25
"86","Townsville",2017-04-30,2017,4,192601,40,0.000207683,2.076832415,39
"87","West Pilbara",2017-04-30,2017,4,34522,1,2.89670355135855e-05,0.289670355,0
"88","Whitsunday",2017-04-30,2017,4,22285,8,0.000358986,3.589858649,7
"89","Alice Springs",2017-05-31,2017,5,39616,30,0.00075727,7.5726979,29
"90","Barkly",2017-05-31,2017,5,6114,63,0.01030422,103.0421982,62
"91","Bowen Basin - North",2017-05-31,2017,5,34303,6,0.000174912,1.749118153,5
"92","Cairns_Region",2017-05-31,2017,5,160339,44,0.000274419,2.744185756,43
"93","Charters Towers - Ayr - Ingham",2017-05-31,2017,5,42628,25,0.000586469,5.864689875,24
"94","Daly - Tiwi - West Arnhem",2017-05-31,2017,5,17945,5,0.000278629,2.786291446,4
"95","Darwin_Region",2017-05-31,2017,5,87677,88,0.001003684,10.03683976,87
"96","East Arnhem",2017-05-31,2017,5,14516,13,0.000895564,8.955635161,12
"97","East Pilbara",2017-05-31,2017,5,25894,2,7.72379701861435e-05,0.772379702,1
"98","Far North",2017-05-31,2017,5,33560,83,0.002473182,24.7318236,82
"99","Innisfail - Cassowary Coast",2017-05-31,2017,5,35652,4,0.000112196,1.121956692,3
"100","Katherine",2017-05-31,2017,5,20825,58,0.002785114,27.85114046,57
"101","Kimberley",2017-05-31,2017,5,36661,0,0,0,0
"102","Litchfield",2017-05-31,2017,5,24668,1,4.05383492784174e-05,0.405383493,0
"103","Mackay",2017-05-31,2017,5,117557,14,0.000119091,1.190911643,13
"104","Outback - North",2017-05-31,2017,5,30820,38,0.001232966,12.32965607,37
"105","Palmerston",2017-05-31,2017,5,36800,21,0.000570652,5.706521739,20
"106","Port Douglas - Daintree",2017-05-31,2017,5,12129,9,0.000742023,7.420232501,8
"107","Tablelands (East) - Kuranda",2017-05-31,2017,5,41661,16,0.000384052,3.840522311,15
"108","Townsville",2017-05-31,2017,5,192601,38,0.000197299,1.972990794,37
"109","West Pilbara",2017-05-31,2017,5,34522,4,0.000115868,1.158681421,3
"110","Whitsunday",2017-05-31,2017,5,22285,2,8.97464662328921e-05,0.897464662,1
"111","Alice Springs",2017-06-30,2017,6,39616,16,0.000403877,4.038772213,15
"112","Barkly",2017-06-30,2017,6,6114,50,0.008177952,81.77952241,49
"113","Bowen Basin - North",2017-06-30,2017,6,34303,3,8.74559076465615e-05,0.874559076,2
"114","Cairns_Region",2017-06-30,2017,6,160339,38,0.000236998,2.369978608,37
"115","Charters Towers - Ayr - Ingham",2017-06-30,2017,6,42628,12,0.000281505,2.81505114,11
"116","Daly - Tiwi - West Arnhem",2017-06-30,2017,6,17945,2,0.000111452,1.114516578,1
"117","Darwin_Region",2017-06-30,2017,6,87677,100,0.00114055,11.40549973,99
"118","East Arnhem",2017-06-30,2017,6,14516,11,0.000757785,7.577845136,10
"119","East Pilbara",2017-06-30,2017,6,25894,1,3.86189850930718e-05,0.386189851,0
"120","Far North",2017-06-30,2017,6,33560,68,0.002026222,20.26221692,67
"121","Innisfail - Cassowary Coast",2017-06-30,2017,6,35652,6,0.000168294,1.682935039,5
"122","Katherine",2017-06-30,2017,6,20825,50,0.00240096,24.00960384,49
"123","Kimberley",2017-06-30,2017,6,36661,1,2.7276942800251e-05,0.272769428,0
"124","Litchfield",2017-06-30,2017,6,24668,1,4.05383492784174e-05,0.405383493,0
"125","Mackay",2017-06-30,2017,6,117557,11,9.35716290820623e-05,0.935716291,10
