"","region","date","year","month","popn","obs","p","rate","obs.noise"
"315","Darwin_Region",2018-03-31,2018,3,87284,119,0.001363366,13.63365565,118
"316","East Arnhem",2018-03-31,2018,3,14501,18,0.001241294,12.41293704,17
"317","East Pilbara",2018-03-31,2018,3,25988,1,3.8479298137602e-05,0.384792981,0
"318","Far North",2018-03-31,2018,3,33455,92,0.002749963,27.49962636,91
"319","Innisfail - Cassowary Coast",2018-03-31,2018,3,35784,10,0.000279455,2.794545048,9
"320","Katherine",2018-03-31,2018,3,20937,56,0.002674691,26.74690739,55
"321","Kimberley",2018-03-31,2018,3,37094,2,5.39170755378228e-05,0.539170755,1
"322","Litchfield",2018-03-31,2018,3,24136,3,0.000124296,1.242956579,2
"323","Mackay",2018-03-31,2018,3,118436,6,5.06602722145294e-05,0.506602722,5
"324","Outback - North",2018-03-31,2018,3,30784,45,0.001461798,14.61798337,44
"325","Palmerston",2018-03-31,2018,3,37654,11,0.000292134,2.921336379,10
"326","Port Douglas - Daintree",2018-03-31,2018,3,12131,8,0.000659467,6.5946748,7
"327","Tablelands (East) - Kuranda",2018-03-31,2018,3,42222,18,0.000426318,4.263180333,17
"328","Townsville",2018-03-31,2018,3,193295,55,0.000284539,2.845391759,54
"329","West Pilbara",2018-03-31,2018,3,33699,1,2.96744710525535e-05,0.296744711,0
"330","Whitsunday",2018-03-31,2018,3,22678,1,4.40955992591939e-05,0.440955993,0
"331","Alice Springs",2018-04-30,2018,4,39869,20,0.000501643,5.016428804,19
"332","Barkly",2018-04-30,2018,4,6064,42,0.006926121,69.26121372,41
"333","Bowen Basin - North",2018-04-30,2018,4,34541,5,0.000144756,1.447555079,4
"334","Cairns_Region",2018-04-30,2018,4,162266,47,0.000289648,2.896478622,46
"335","Charters Towers - Ayr - Ingham",2018-04-30,2018,4,42336,20,0.000472411,4.724111867,19
"336","Daly - Tiwi - West Arnhem",2018-04-30,2018,4,17918,3,0.000167429,1.674294006,2
"337","Darwin_Region",2018-04-30,2018,4,87284,74,0.000847807,8.478071582,73
"338","East Arnhem",2018-04-30,2018,4,14501,10,0.000689608,6.896076133,9
"339","East Pilbara",2018-04-30,2018,4,25988,2,7.69585962752039e-05,0.769585963,1
"340","Far North",2018-04-30,2018,4,33455,87,0.002600508,26.00508145,86
"341","Innisfail - Cassowary Coast",2018-04-30,2018,4,35784,8,0.000223564,2.235636038,7
"342","Katherine",2018-04-30,2018,4,20937,37,0.001767206,17.67206381,36
"343","Kimberley",2018-04-30,2018,4,37094,4,0.000107834,1.078341511,3
"344","Litchfield",2018-04-30,2018,4,24136,0,0,0,0
"345","Mackay",2018-04-30,2018,4,118436,9,7.5990408321794e-05,0.759904083,8
"346","Outback - North",2018-04-30,2018,4,30784,47,0.001526767,15.26767152,46
"347","Palmerston",2018-04-30,2018,4,37654,16,0.000424922,4.249216551,15
"348","Port Douglas - Daintree",2018-04-30,2018,4,12131,2,0.000164867,1.6486687,1
"349","Tablelands (East) - Kuranda",2018-04-30,2018,4,42222,17,0.000402634,4.026336981,16
"350","Townsville",2018-04-30,2018,4,193295,60,0.000310406,3.104063737,59
"351","West Pilbara",2018-04-30,2018,4,33699,1,2.96744710525535e-05,0.296744711,0
"352","Whitsunday",2018-04-30,2018,4,22678,4,0.000176382,1.76382397,3
"353","Alice Springs",2018-05-31,2018,5,39869,24,0.000601971,6.019714565,23
"354","Barkly",2018-05-31,2018,5,6064,47,0.00775066,77.50659631,46
"355","Bowen Basin - North",2018-05-31,2018,5,34541,5,0.000144756,1.447555079,4
"356","Cairns_Region",2018-05-31,2018,5,162266,48,0.000295811,2.958105826,47
"357","Charters Towers - Ayr - Ingham",2018-05-31,2018,5,42336,20,0.000472411,4.724111867,19
"358","Daly - Tiwi - West Arnhem",2018-05-31,2018,5,17918,1,5.58098002009153e-05,0.558098002,0
"359","Darwin_Region",2018-05-31,2018,5,87284,72,0.000824893,8.248934513,71
"360","East Arnhem",2018-05-31,2018,5,14501,20,0.001379215,13.79215227,19
"361","East Pilbara",2018-05-31,2018,5,25988,1,3.8479298137602e-05,0.384792981,0
"362","Far North",2018-05-31,2018,5,33455,87,0.002600508,26.00508145,86
"363","Innisfail - Cassowary Coast",2018-05-31,2018,5,35784,5,0.000139727,1.397272524,4
"364","Katherine",2018-05-31,2018,5,20937,49,0.002340354,23.40354397,48
"365","Kimberley",2018-05-31,2018,5,37094,3,8.08756133067342e-05,0.808756133,2
"366","Litchfield",2018-05-31,2018,5,24136,0,0,0,0
"367","Mackay",2018-05-31,2018,5,118436,10,8.44337870242156e-05,0.84433787,9
"368","Outback - North",2018-05-31,2018,5,30784,26,0.000844595,8.445945946,25
"369","Palmerston",2018-05-31,2018,5,37654,11,0.000292134,2.921336379,10
"370","Port Douglas - Daintree",2018-05-31,2018,5,12131,2,0.000164867,1.6486687,1
"371","Tablelands (East) - Kuranda",2018-05-31,2018,5,42222,15,0.000355265,3.552650277,14
"372","Townsville",2018-05-31,2018,5,193295,49,0.000253499,2.534985385,48
"373","West Pilbara",2018-05-31,2018,5,33699,0,0,0,0
"374","Whitsunday",2018-05-31,2018,5,22678,5,0.000220478,2.204779963,4
"375","Alice Springs",2018-06-30,2018,6,39869,12,0.000300986,3.009857283,11
"376","Barkly",2018-06-30,2018,6,6064,35,0.005771768,57.7176781,34
"377","Bowen Basin - North",2018-06-30,2018,6,34541,6,0.000173707,1.737066095,5
"378","Cairns_Region",2018-06-30,2018,6,162266,32,0.000197207,1.972070551,31
"379","Charters Towers - Ayr - Ingham",2018-06-30,2018,6,42336,7,0.000165344,1.653439153,6
"380","Daly - Tiwi - West Arnhem",2018-06-30,2018,6,17918,3,0.000167429,1.674294006,2
"381","Darwin_Region",2018-06-30,2018,6,87284,79,0.000905091,9.050914257,78
"382","East Arnhem",2018-06-30,2018,6,14501,15,0.001034411,10.3441142,14
"383","East Pilbara",2018-06-30,2018,6,25988,0,0,0,0
"384","Far North",2018-06-30,2018,6,33455,46,0.001374981,13.74981318,45
"385","Innisfail - Cassowary Coast",2018-06-30,2018,6,35784,6,0.000167673,1.676727029,5
"386","Katherine",2018-06-30,2018,6,20937,38,0.001814969,18.14968716,37
"387","Kimberley",2018-06-30,2018,6,37094,0,0,0,0
"388","Litchfield",2018-06-30,2018,6,24136,0,0,0,0
"389","Mackay",2018-06-30,2018,6,118436,13,0.000109764,1.097639231,12
"390","Outback - North",2018-06-30,2018,6,30784,27,0.000877079,8.770790021,26
"391","Palmerston",2018-06-30,2018,6,37654,7,0.000185903,1.859032241,6
"392","Port Douglas - Daintree",2018-06-30,2018,6,12131,1,8.24334350012365e-05,0.82433435,0
"393","Tablelands (East) - Kuranda",2018-06-30,2018,6,42222,9,0.000213159,2.131590166,8
"394","Townsville",2018-06-30,2018,6,193295,27,0.000139683,1.396828682,26
"395","West Pilbara",2018-06-30,2018,6,33699,1,2.96744710525535e-05,0.296744711,0
"396","Whitsunday",2018-06-30,2018,6,22678,6,0.000264574,2.645735956,5
"397","Alice Springs",2018-07-31,2018,7,39869,15,0.000376232,3.762321603,14
"398","Barkly",2018-07-31,2018,7,6064,19,0.003133245,31.33245383,18
"399","Bowen Basin - North",2018-07-31,2018,7,34541,4,0.000115804,1.158044064,3
"400","Cairns_Region",2018-07-31,2018,7,162266,35,0.000215695,2.156952165,34
"401","Charters Towers - Ayr - Ingham",2018-07-31,2018,7,42336,17,0.00040155,4.015495087,16
"402","Daly - Tiwi - West Arnhem",2018-07-31,2018,7,17918,3,0.000167429,1.674294006,2
"403","Darwin_Region",2018-07-31,2018,7,87284,68,0.000779066,7.790660373,67
"404","East Arnhem",2018-07-31,2018,7,14501,12,0.000827529,8.275291359,11
"405","East Pilbara",2018-07-31,2018,7,25988,NA,NA,NA,NA
"406","Far North",2018-07-31,2018,7,33455,51,0.001524436,15.24435809,50
"407","Innisfail - Cassowary Coast",2018-07-31,2018,7,35784,5,0.000139727,1.397272524,4
"408","Katherine",2018-07-31,2018,7,20937,38,0.001814969,18.14968716,37
"409","Kimberley",2018-07-31,2018,7,37094,1,2.69585377689114e-05,0.269585378,0
"410","Litchfield",2018-07-31,2018,7,24136,1,4.14318859794498e-05,0.41431886,0
"411","Mackay",2018-07-31,2018,7,118436,7,5.91036509169509e-05,0.591036509,6
"412","Outback - North",2018-07-31,2018,7,30784,30,0.000974532,9.745322245,29
"413","Palmerston",2018-07-31,2018,7,37654,10,0.000265576,2.655760344,9
"414","Port Douglas - Daintree",2018-07-31,2018,7,12131,7,0.000577034,5.77034045,6
"415","Tablelands (East) - Kuranda",2018-07-31,2018,7,42222,14,0.000331581,3.315806925,13
"416","Townsville",2018-07-31,2018,7,193295,30,0.000155203,1.552031868,29
"417","West Pilbara",2018-07-31,2018,7,33699,1,2.96744710525535e-05,0.296744711,0
"418","Whitsunday",2018-07-31,2018,7,22678,0,0,0,0
"419","Alice Springs",2018-08-31,2018,8,39869,13,0.000326068,3.260678723,12
"420","Barkly",2018-08-31,2018,8,6064,33,0.005441953,54.41952507,32
"421","Bowen Basin - North",2018-08-31,2018,8,34541,0,0,0,0
"422","Cairns_Region",2018-08-31,2018,8,162266,29,0.000178719,1.787188937,28
"423","Charters Towers - Ayr - Ingham",2018-08-31,2018,8,42336,16,0.000377929,3.779289494,15
"424","Daly - Tiwi - West Arnhem",2018-08-31,2018,8,17918,4,0.000223239,2.232392008,3
"425","Darwin_Region",2018-08-31,2018,8,87284,53,0.000607213,6.07213235,52
"426","East Arnhem",2018-08-31,2018,8,14501,11,0.000758568,7.585683746,10
"427","East Pilbara",2018-08-31,2018,8,25988,0,0,0,0
"428","Far North",2018-08-31,2018,8,33455,53,0.001584218,15.84217606,52
"429","Innisfail - Cassowary Coast",2018-08-31,2018,8,35784,9,0.000251509,2.515090543,8
"430","Katherine",2018-08-31,2018,8,20937,36,0.001719444,17.19444046,35
"431","Kimberley",2018-08-31,2018,8,37094,1,2.69585377689114e-05,0.269585378,0
"432","Litchfield",2018-08-31,2018,8,24136,2,8.28637719588996e-05,0.82863772,1
"433","Mackay",2018-08-31,2018,8,118436,10,8.44337870242156e-05,0.84433787,9
"434","Outback - North",2018-08-31,2018,8,30784,29,0.000942048,9.42047817,28
"435","Palmerston",2018-08-31,2018,8,37654,11,0.000292134,2.921336379,10
"436","Port Douglas - Daintree",2018-08-31,2018,8,12131,7,0.000577034,5.77034045,6
"437","Tablelands (East) - Kuranda",2018-08-31,2018,8,42222,11,0.000260528,2.60527687,10
"438","Townsville",2018-08-31,2018,8,193295,27,0.000139683,1.396828682,26
"439","West Pilbara",2018-08-31,2018,8,33699,0,0,0,0
"440","Whitsunday",2018-08-31,2018,8,22678,1,4.40955992591939e-05,0.440955993,0
"441","Alice Springs",2018-09-30,2018,9,39869,14,0.00035115,3.511500163,13
"442","Barkly",2018-09-30,2018,9,6064,26,0.004287599,42.87598945,25
"443","Bowen Basin - North",2018-09-30,2018,9,34541,4,0.000115804,1.158044064,3
"444","Cairns_Region",2018-09-30,2018,9,162266,40,0.000246509,2.465088189,39
"445","Charters Towers - Ayr - Ingham",2018-09-30,2018,9,42336,18,0.00042517,4.25170068,17
"446","Daly - Tiwi - West Arnhem",2018-09-30,2018,9,17918,2,0.00011162,1.116196004,1
"447","Darwin_Region",2018-09-30,2018,9,87284,55,0.000630127,6.301269419,54
"448","East Arnhem",2018-09-30,2018,9,14501,15,0.001034411,10.3441142,14
"449","East Pilbara",2018-09-30,2018,9,25988,1,3.8479298137602e-05,0.384792981,0
"450","Far North",2018-09-30,2018,9,33455,36,0.001076072,10.76072336,35
"451","Innisfail - Cassowary Coast",2018-09-30,2018,9,35784,8,0.000223564,2.235636038,7
"452","Katherine",2018-09-30,2018,9,20937,43,0.00205378,20.53780389,42
"453","Kimberley",2018-09-30,2018,9,37094,1,2.69585377689114e-05,0.269585378,0
"454","Litchfield",2018-09-30,2018,9,24136,0,0,0,0
"455","Mackay",2018-09-30,2018,9,118436,8,6.75470296193725e-05,0.675470296,7
"456","Outback - North",2018-09-30,2018,9,30784,31,0.001007017,10.07016632,30
"457","Palmerston",2018-09-30,2018,9,37654,16,0.000424922,4.249216551,15
"458","Port Douglas - Daintree",2018-09-30,2018,9,12131,3,0.0002473,2.47300305,2
"459","Tablelands (East) - Kuranda",2018-09-30,2018,9,42222,4,9.47373407228459e-05,0.947373407,3
"460","Townsville",2018-09-30,2018,9,193295,29,0.00015003,1.500297473,28
"461","West Pilbara",2018-09-30,2018,9,33699,1,2.96744710525535e-05,0.296744711,0
"462","Whitsunday",2018-09-30,2018,9,22678,4,0.000176382,1.76382397,3
"463","Alice Springs",2018-10-31,2018,10,39869,9,0.000225739,2.257392962,8
"464","Barkly",2018-10-31,2018,10,6064,43,0.007091029,70.91029024,42
"465","Bowen Basin - North",2018-10-31,2018,10,34541,2,5.7902203178831e-05,0.579022032,1
"466","Cairns_Region",2018-10-31,2018,10,162266,48,0.000295811,2.958105826,47
"467","Charters Towers - Ayr - Ingham",2018-10-31,2018,10,42336,20,0.000472411,4.724111867,19
"468","Daly - Tiwi - West Arnhem",2018-10-31,2018,10,17918,1,5.58098002009153e-05,0.558098002,0
"469","Darwin_Region",2018-10-31,2018,10,87284,82,0.000939462,9.394619862,81
"470","East Arnhem",2018-10-31,2018,10,14501,12,0.000827529,8.275291359,11
"471","East Pilbara",2018-10-31,2018,10,25988,0,0,0,0
"472","Far North",2018-10-31,2018,10,33455,62,0.001853236,18.5323569,61
"473","Innisfail - Cassowary Coast",2018-10-31,2018,10,35784,12,0.000335345,3.353454058,11
"474","Katherine",2018-10-31,2018,10,20937,45,0.002149305,21.49305058,44
"475","Kimberley",2018-10-31,2018,10,37094,0,0,0,0
"476","Litchfield",2018-10-31,2018,10,24136,2,8.28637719588996e-05,0.82863772,1
"477","Mackay",2018-10-31,2018,10,118436,10,8.44337870242156e-05,0.84433787,9
"478","Outback - North",2018-10-31,2018,10,30784,40,0.001299376,12.99376299,39
"479","Palmerston",2018-10-31,2018,10,37654,22,0.000584267,5.842672757,21
"480","Port Douglas - Daintree",2018-10-31,2018,10,12131,5,0.000412167,4.12167175,4
"481","Tablelands (East) - Kuranda",2018-10-31,2018,10,42222,13,0.000307896,3.078963573,12
"482","Townsville",2018-10-31,2018,10,193295,30,0.000155203,1.552031868,29
"483","West Pilbara",2018-10-31,2018,10,33699,0,0,0,0
"484","Whitsunday",2018-10-31,2018,10,22678,2,8.81911985183879e-05,0.881911985,1
"485","Alice Springs",2018-11-30,2018,11,39869,18,0.000451479,4.514785924,17
"486","Barkly",2018-11-30,2018,11,6064,43,0.007091029,70.91029024,42
"487","Bowen Basin - North",2018-11-30,2018,11,34541,6,0.000173707,1.737066095,5
"488","Cairns_Region",2018-11-30,2018,11,162266,45,0.000277322,2.773224212,44
"489","Charters Towers - Ayr - Ingham",2018-11-30,2018,11,42336,17,0.00040155,4.015495087,16
"490","Daly - Tiwi - West Arnhem",2018-11-30,2018,11,17918,1,5.58098002009153e-05,0.558098002,0
"491","Darwin_Region",2018-11-30,2018,11,87284,86,0.000985289,9.852894001,85
"492","East Arnhem",2018-11-30,2018,11,14501,13,0.00089649,8.964898972,12
"493","East Pilbara",2018-11-30,2018,11,25988,0,0,0,0
"494","Far North",2018-11-30,2018,11,33455,73,0.002182036,21.8203557,72
"495","Innisfail - Cassowary Coast",2018-11-30,2018,11,35784,9,0.000251509,2.515090543,8
"496","Katherine",2018-11-30,2018,11,20937,49,0.002340354,23.40354397,48
"497","Kimberley",2018-11-30,2018,11,37094,2,5.39170755378228e-05,0.539170755,1
"498","Litchfield",2018-11-30,2018,11,24136,1,4.14318859794498e-05,0.41431886,0
"499","Mackay",2018-11-30,2018,11,118436,11,9.28771657266372e-05,0.928771657,10
"500","Outback - North",2018-11-30,2018,11,30784,27,0.000877079,8.770790021,26
"501","Palmerston",2018-11-30,2018,11,37654,17,0.000451479,4.514792585,16
"502","Port Douglas - Daintree",2018-11-30,2018,11,12131,2,0.000164867,1.6486687,1
"503","Tablelands (East) - Kuranda",2018-11-30,2018,11,42222,10,0.000236843,2.368433518,9
"504","Townsville",2018-11-30,2018,11,193295,29,0.00015003,1.500297473,28
"505","West Pilbara",2018-11-30,2018,11,33699,2,5.9348942105107e-05,0.593489421,1
"506","Whitsunday",2018-11-30,2018,11,22678,3,0.000132287,1.322867978,2
"507","Alice Springs",2018-12-31,2018,12,39869,14,0.00035115,3.511500163,13
"508","Barkly",2018-12-31,2018,12,6064,21,0.003463061,34.63060686,20
"509","Bowen Basin - North",2018-12-31,2018,12,34541,0,0,0,0
"510","Cairns_Region",2018-12-31,2018,12,162266,39,0.000240346,2.403460984,38
"511","Charters Towers - Ayr - Ingham",2018-12-31,2018,12,42336,20,0.000472411,4.724111867,19
"512","Daly - Tiwi - West Arnhem",2018-12-31,2018,12,17918,2,0.00011162,1.116196004,1
"513","Darwin_Region",2018-12-31,2018,12,87284,92,0.001054031,10.54030521,91
"514","East Arnhem",2018-12-31,2018,12,14501,21,0.001448176,14.48175988,20
"515","East Pilbara",2018-12-31,2018,12,25988,0,0,0,0
"516","Far North",2018-12-31,2018,12,33455,61,0.001823345,18.23344792,60
"517","Innisfail - Cassowary Coast",2018-12-31,2018,12,35784,10,0.000279455,2.794545048,9
"518","Katherine",2018-12-31,2018,12,20937,39,0.001862731,18.6273105,38
"519","Kimberley",2018-12-31,2018,12,37094,0,0,0,0
"520","Litchfield",2018-12-31,2018,12,24136,2,8.28637719588996e-05,0.82863772,1
"521","Mackay",2018-12-31,2018,12,118436,8,6.75470296193725e-05,0.675470296,7
"522","Outback - North",2018-12-31,2018,12,30784,32,0.001039501,10.3950104,31
"523","Palmerston",2018-12-31,2018,12,37654,18,0.000478037,4.78036862,17
"524","Port Douglas - Daintree",2018-12-31,2018,12,12131,4,0.000329734,3.2973374,3
"525","Tablelands (East) - Kuranda",2018-12-31,2018,12,42222,6,0.000142106,1.421060111,5
"526","Townsville",2018-12-31,2018,12,193295,33,0.000170724,1.707235055,32
"527","West Pilbara",2018-12-31,2018,12,33699,0,0,0,0
"528","Whitsunday",2018-12-31,2018,12,22678,4,0.000176382,1.76382397,3
"529","Alice Springs",2019-01-31,2019,1,40128,11,0.000274123,2.74122807,10
"530","Barkly",2019-01-31,2019,1,6028,41,0.006801593,68.01592568,40
"531","Bowen Basin - North",2019-01-31,2019,1,35095,0,0,0,0
"532","Cairns_Region",2019-01-31,2019,1,163733,38,0.000232085,2.32085163,37
"533","Charters Towers - Ayr - Ingham",2019-01-31,2019,1,42059,25,0.000594403,5.944031004,24
"534","Daly - Tiwi - West Arnhem",2019-01-31,2019,1,17917,5,0.000279065,2.790645755,4
"535","Darwin_Region",2019-01-31,2019,1,86771,110,0.001267705,12.67704648,109
"536","East Arnhem",2019-01-31,2019,1,14502,27,0.001861812,18.61812164,26
"537","East Pilbara",2019-01-31,2019,1,26257,3,0.000114255,1.142552462,2
"538","Far North",2019-01-31,2019,1,33323,96,0.002880893,28.80893077,95
"539","Innisfail - Cassowary Coast",2019-01-31,2019,1,35833,12,0.000334887,3.348868362,11
"540","Katherine",2019-01-31,2019,1,21032,61,0.002900342,29.00342335,60
"541","Kimberley",2019-01-31,2019,1,37559,2,5.3249554034985e-05,0.53249554,1
"542","Litchfield",2019-01-31,2019,1,23563,2,8.48788354623775e-05,0.848788355,1
"543","Mackay",2019-01-31,2019,1,119665,12,0.00010028,1.002799482,11
"544","Outback - North",2019-01-31,2019,1,30838,56,0.001815941,18.15941371,55
"545","Palmerston",2019-01-31,2019,1,38212,21,0.000549566,5.495655815,20
"546","Port Douglas - Daintree",2019-01-31,2019,1,12242,7,0.000571802,5.718019931,6
"547","Tablelands (East) - Kuranda",2019-01-31,2019,1,42615,17,0.000398921,3.989205679,16
"548","Townsville",2019-01-31,2019,1,193951,58,0.000299045,2.99044604,57
"549","West Pilbara",2019-01-31,2019,1,32917,0,0,0,0
"550","Whitsunday",2019-01-31,2019,1,23013,6,0.000260722,2.607222005,5
"551","Alice Springs",2019-02-28,2019,2,40128,21,0.000523325,5.233253589,20
"552","Barkly",2019-02-28,2019,2,6028,27,0.004479098,44.79097545,26
"553","Bowen Basin - North",2019-02-28,2019,2,35095,3,8.54822624305457e-05,0.854822624,2
"554","Cairns_Region",2019-02-28,2019,2,163733,65,0.000396988,3.969877789,64
"555","Charters Towers - Ayr - Ingham",2019-02-28,2019,2,42059,24,0.000570627,5.706269764,23
"556","Daly - Tiwi - West Arnhem",2019-02-28,2019,2,17917,5,0.000279065,2.790645755,4
"557","Darwin_Region",2019-02-28,2019,2,86771,73,0.000841295,8.412949027,72
"558","East Arnhem",2019-02-28,2019,2,14502,15,0.00103434,10.34340091,14
"559","East Pilbara",2019-02-28,2019,2,26257,0,0,0,0
"560","Far North",2019-02-28,2019,2,33323,79,0.002370735,23.70734928,78
"561","Innisfail - Cassowary Coast",2019-02-28,2019,2,35833,19,0.000530237,5.302374906,18
"562","Katherine",2019-02-28,2019,2,21032,58,0.002757703,27.57702548,57
"563","Kimberley",2019-02-28,2019,2,37559,3,7.98743310524774e-05,0.798743311,2
"564","Litchfield",2019-02-28,2019,2,23563,0,0,0,0
"565","Mackay",2019-02-28,2019,2,119665,16,0.000133707,1.337065976,15
"566","Outback - North",2019-02-28,2019,2,30838,47,0.001524094,15.24093651,46
"567","Palmerston",2019-02-28,2019,2,38212,21,0.000549566,5.495655815,20
"568","Port Douglas - Daintree",2019-02-28,2019,2,12242,5,0.00040843,4.084299951,4
"569","Tablelands (East) - Kuranda",2019-02-28,2019,2,42615,22,0.00051625,5.162501467,21
"570","Townsville",2019-02-28,2019,2,193951,62,0.000319668,3.196683698,61
"571","West Pilbara",2019-02-28,2019,2,32917,0,0,0,0
"572","Whitsunday",2019-02-28,2019,2,23013,3,0.000130361,1.303611002,2
"573","Alice Springs",2019-03-31,2019,3,40128,23,0.000573166,5.731658692,22
"574","Barkly",2019-03-31,2019,3,6028,52,0.00862641,86.26410086,51
"575","Bowen Basin - North",2019-03-31,2019,3,35095,4,0.000113976,1.139763499,3
"576","Cairns_Region",2019-03-31,2019,3,163733,49,0.000299268,2.992677102,48
"577","Charters Towers - Ayr - Ingham",2019-03-31,2019,3,42059,12,0.000285313,2.853134882,11
"578","Daly - Tiwi - West Arnhem",2019-03-31,2019,3,17917,2,0.000111626,1.116258302,1
"579","Darwin_Region",2019-03-31,2019,3,86771,82,0.000945016,9.45016192,81
"580","East Arnhem",2019-03-31,2019,3,14502,20,0.00137912,13.79120121,19
"581","East Pilbara",2019-03-31,2019,3,26257,1,3.80850820733519e-05,0.380850821,0
"582","Far North",2019-03-31,2019,3,33323,73,0.002190679,21.90679111,72
"583","Innisfail - Cassowary Coast",2019-03-31,2019,3,35833,11,0.00030698,3.069795998,10
"584","Katherine",2019-03-31,2019,3,21032,54,0.002567516,25.67516166,53
"585","Kimberley",2019-03-31,2019,3,37559,2,5.3249554034985e-05,0.53249554,1
"586","Litchfield",2019-03-31,2019,3,23563,1,4.24394177311887e-05,0.424394177,0
"587","Mackay",2019-03-31,2019,3,119665,15,0.00012535,1.253499352,14
"588","Outback - North",2019-03-31,2019,3,30838,46,0.001491666,14.91666126,45
"589","Palmerston",2019-03-31,2019,3,38212,25,0.000654245,6.542447399,24
"590","Port Douglas - Daintree",2019-03-31,2019,3,12242,1,8.1685999019768e-05,0.81685999,0
"591","Tablelands (East) - Kuranda",2019-03-31,2019,3,42615,19,0.000445852,4.458523994,18
"592","Townsville",2019-03-31,2019,3,193951,64,0.00032998,3.299802527,63
"593","West Pilbara",2019-03-31,2019,3,32917,2,6.07588783911049e-05,0.607588784,1
"594","Whitsunday",2019-03-31,2019,3,23013,6,0.000260722,2.607222005,5
"595","Alice Springs",2019-04-30,2019,4,40128,17,0.000423644,4.236443381,16
"596","Barkly",2019-04-30,2019,4,6028,26,0.004313205,43.13205043,25
"597","Bowen Basin - North",2019-04-30,2019,4,35095,2,5.69881749536971e-05,0.56988175,1
"598","Cairns_Region",2019-04-30,2019,4,163733,44,0.00026873,2.687301888,43
"599","Charters Towers - Ayr - Ingham",2019-04-30,2019,4,42059,14,0.000332866,3.328657362,13
"600","Daly - Tiwi - West Arnhem",2019-04-30,2019,4,17917,7,0.00039069,3.906904058,6
"601","Darwin_Region",2019-04-30,2019,4,86771,73,0.000841295,8.412949027,72
"602","East Arnhem",2019-04-30,2019,4,14502,20,0.00137912,13.79120121,19
"603","East Pilbara",2019-04-30,2019,4,26257,0,0,0,0
"604","Far North",2019-04-30,2019,4,33323,60,0.001800558,18.00558173,59
"605","Innisfail - Cassowary Coast",2019-04-30,2019,4,35833,12,0.000334887,3.348868362,11
"606","Katherine",2019-04-30,2019,4,21032,49,0.002329783,23.29783188,48
"607","Kimberley",2019-04-30,2019,4,37559,0,0,0,0
"608","Litchfield",2019-04-30,2019,4,23563,0,0,0,0
"609","Mackay",2019-04-30,2019,4,119665,12,0.00010028,1.002799482,11
"610","Outback - North",2019-04-30,2019,4,30838,34,0.001102536,11.02535832,33
"611","Palmerston",2019-04-30,2019,4,38212,26,0.000680415,6.804145295,25
"612","Port Douglas - Daintree",2019-04-30,2019,4,12242,5,0.00040843,4.084299951,4
"613","Tablelands (East) - Kuranda",2019-04-30,2019,4,42615,20,0.000469318,4.693183151,19
"614","Townsville",2019-04-30,2019,4,193951,45,0.000232017,2.320173652,44
"615","West Pilbara",2019-04-30,2019,4,32917,4,0.000121518,1.215177568,3
"616","Whitsunday",2019-04-30,2019,4,23013,2,8.69074001651241e-05,0.869074002,1
"617","Alice Springs",2019-05-31,2019,5,40128,22,0.000548246,5.48245614,21
"618","Barkly",2019-05-31,2019,5,6028,49,0.008128733,81.28732581,48
"619","Bowen Basin - North",2019-05-31,2019,5,35095,4,0.000113976,1.139763499,3
"620","Cairns_Region",2019-05-31,2019,5,163733,41,0.000250408,2.504076759,40
"621","Charters Towers - Ayr - Ingham",2019-05-31,2019,5,42059,20,0.000475522,4.755224803,19
"622","Daly - Tiwi - West Arnhem",2019-05-31,2019,5,17917,4,0.000223252,2.232516604,3
"623","Darwin_Region",2019-05-31,2019,5,86771,71,0.000818246,8.182457273,70
"624","East Arnhem",2019-05-31,2019,5,14502,18,0.001241208,12.41208109,17
"625","East Pilbara",2019-05-31,2019,5,26257,0,0,0,0
"626","Far North",2019-05-31,2019,5,33323,52,0.001560484,15.6048375,51
"627","Innisfail - Cassowary Coast",2019-05-31,2019,5,35833,12,0.000334887,3.348868362,11
"628","Katherine",2019-05-31,2019,5,21032,61,0.002900342,29.00342335,60
"629","Kimberley",2019-05-31,2019,5,37559,3,7.98743310524774e-05,0.798743311,2
"630","Litchfield",2019-05-31,2019,5,23563,1,4.24394177311887e-05,0.424394177,0
"631","Mackay",2019-05-31,2019,5,119665,6,5.01399740943467e-05,0.501399741,5
"632","Outback - North",2019-05-31,2019,5,30838,37,0.001199818,11.99818406,36
"633","Palmerston",2019-05-31,2019,5,38212,17,0.000444886,4.448864231,16
"634","Port Douglas - Daintree",2019-05-31,2019,5,12242,8,0.000653488,6.534879922,7
"635","Tablelands (East) - Kuranda",2019-05-31,2019,5,42615,15,0.000351989,3.519887364,14
"636","Townsville",2019-05-31,2019,5,193951,46,0.000237173,2.371733067,45
"637","West Pilbara",2019-05-31,2019,5,32917,1,3.03794391955524e-05,0.303794392,0
"638","Whitsunday",2019-05-31,2019,5,23013,5,0.000217269,2.172685004,4
"639","Alice Springs",2019-06-30,2019,6,40128,5,0.000124601,1.246012759,4
"640","Barkly",2019-06-30,2019,6,6028,25,0.004147313,41.47312541,24
"641","Bowen Basin - North",2019-06-30,2019,6,35095,3,8.54822624305457e-05,0.854822624,2
"642","Cairns_Region",2019-06-30,2019,6,163733,44,0.00026873,2.687301888,43
