"fold","mean","sd","quant0.025","quant0.25","quant0.5","quant0.75","quant0.975","poiss.dev"
1,0.00322892812931951,0.00293119468730377,0.000214892009102084,0.00111404499751907,0.00238484850703222,0.00444929058891578,0.0108167884472476,0.569073529967024
2,0.00283028513340888,0.00256500815246202,0.000188190998708109,0.000976998486658627,0.00209230674063198,0.00390315854176309,0.00946666748417202,0.637022966971113
3,0.00264143251702726,0.0022902053328032,0.00020454800366239,0.000971793001484828,0.00200619834766316,0.00363773667197641,0.00852998665248802,0.48681423125209
4,0.00263597822696834,0.00224928062751586,0.0002269858360241,0.00100619992820919,0.00202143651140644,0.00360180663533677,0.0084272708498002,1.39095264932801
5,0.00352761679963369,0.00237280731975129,0.00054337270121417,0.00173641625707401,0.00301180087072263,0.00476227213761967,0.0093990531181245,0.598468789229286
